# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.675751196344381138e-03 2.648073074236019508e-02 2.763055494582189811e-03 9.868932079055032017e-03 2.474635430932463007e-02 2.283238288538045387e-03 2.063139174793055322e-03 1.404251853023214258e-01 3.248021615335192763e-02 2.792532643932411213e-02 1.764350706635553923e-03 8.206950228772330255e-03 1.444022375182541602e-03 9.868932079055032017e-03 2.474635430932463007e-02 2.283238288538045387e-03 2.063139174793055322e-03 1.404251853023214258e-01 3.248021615335192763e-02 2.792532643932411213e-02
1.000000000000000000e+02 6.542626412768126761e-05 8.250668584394484095e-05 8.909295939038290504e-04 1.223758789384586914e-03 4.304630813862124142e-05 1.578489244854539182e-03 3.412399992969990481e-05 1.774553591981859260e-03 1.734057229976808528e-05 8.088148494669497016e-06 6.054353145889825152e-05 7.276127272718383051e-05 9.104587388629469024e-04 1.223758789384586914e-03 4.304630813862124142e-05 1.578489244854539182e-03 3.412399992969990481e-05 1.774553591981859260e-03 1.734057229976808528e-05 8.088148494669497016e-06
2.000000000000000000e+02 3.419182325880936840e-05 2.212478392594180359e-05 6.894599060513499546e-04 1.137859435559888466e-03 2.333355086799718167e-05 1.258208217626580845e-03 2.679424348946447024e-06 1.471122759511918040e-03 1.174666020752800972e-05 1.652098200283575473e-06 3.379369944590853358e-05 1.989587288611942875e-05 7.317327566461742303e-04 1.137859435559888466e-03 2.333355086799718167e-05 1.258208217626580845e-03 2.679424348946447024e-06 1.471122759511918040e-03 1.174666020752800972e-05 1.652098200283575473e-06
3.000000000000000000e+02 2.208900323952049007e-05 1.214359576530232625e-05 6.524334383601089601e-04 9.956149021129782027e-04 1.791985169089618292e-05 1.241778837054489763e-03 1.735257430762822291e-06 1.375482647690798267e-03 8.119135203433499410e-06 1.567242471087425884e-06 2.104770064176653875e-05 1.163060566801491614e-05 6.949598623669240574e-04 9.956149021129782027e-04 1.791985169089618292e-05 1.241778837054489763e-03 1.735257430762822291e-06 1.375482647690798267e-03 8.119135203433499410e-06 1.567242471087425884e-06
4.000000000000000000e+02 1.493194696742178169e-05 8.723773652086063573e-06 6.306980571907758355e-04 8.987196777635728844e-04 1.309195944623938658e-05 1.222882191352417207e-03 1.500149439908297490e-06 1.301927686176988959e-03 5.858956864946637618e-06 1.065581108221192158e-06 1.431207826527448440e-05 8.587202311348760884e-06 6.713115485588820857e-04 8.987196777635728844e-04 1.309195944623938658e-05 1.222882191352417207e-03 1.500149439908297490e-06 1.301927686176988959e-03 5.858956864946637618e-06 1.065581108221192158e-06
5.000000000000000000e+02 1.039049320189054428e-05 7.196331687976516642e-06 6.083404253858336200e-04 8.307946708262264239e-04 9.341881687807145778e-06 1.194821810117351881e-03 1.331572273066609604e-06 1.241397650930667861e-03 4.900949971476960927e-06 6.909915467187639607e-07 1.001940455748186991e-05 7.053320274092266815e-06 6.452789291215337225e-04 8.307946708262264239e-04 9.341881687807145778e-06 1.194821810117351881e-03 1.331572273066609604e-06 1.241397650930667861e-03 4.900949971476960927e-06 6.909915467187639607e-07
6.000000000000000000e+02 7.981048828777259453e-06 6.450468211591464788e-06 5.868300978522489721e-04 7.735028326749574358e-04 6.915055430674279282e-06 1.162287528319811206e-03 1.195958159645616998e-06 1.193200405623506518e-03 4.523132337479040156e-06 4.724691623653587935e-07 7.559392580887775839e-06 6.264788910630880661e-06 6.194162351331936435e-04 7.735028326749574358e-04 6.915055430674279282e-06 1.162287528319811206e-03 1.195958159645616998e-06 1.193200405623506518e-03 4.523132337479040156e-06 4.724691623653587935e-07
7.000000000000000000e+02 6.787732153095660825e-06 6.003175382162934652e-06 5.715714033107957776e-04 7.192987064423049873e-04 6.512096483600988438e-06 1.134781249511156165e-03 1.113284492607060747e-06 1.164295900540347675e-03 5.444368574332864098e-06 3.155613258677382874e-07 6.172817201741098387e-06 5.830618220043148013e-06 6.016836596383144491e-04 7.192987064423049873e-04 6.512096483600988438e-06 1.134781249511156165e-03 1.113284492607060747e-06 1.164295900540347675e-03 5.444368574332864098e-06 3.155613258677382874e-07
8.000000000000000000e+02 6.727974748850683750e-06 5.854070878379659667e-06 5.622537081750858187e-04 6.707147807990534397e-04 4.749499701546357096e-06 1.112451513978219121e-03 1.242720945934777977e-06 1.117212574435881914e-03 4.359230025463865401e-06 2.663597658681955414e-07 5.875945124775518523e-06 5.786600597953795676e-06 5.879821019877855357e-04 6.707147807990534397e-04 4.749499701546357096e-06 1.112451513978219121e-03 1.242720945934777977e-06 1.117212574435881914e-03 4.359230025463865401e-06 2.663597658681955414e-07
9.000000000000000000e+02 6.977458509115909527e-06 5.788133811686906924e-06 5.549778757920865394e-04 6.173230654797590101e-04 4.256322582706764485e-06 1.092473744927048270e-03 1.491505182688976797e-06 1.069587972397793027e-03 4.175600652596187235e-06 2.449951622015156065e-07 5.906402669084501009e-06 5.890222238124102547e-06 5.752364758100658466e-04 6.173230654797590101e-04 4.256322582706764485e-06 1.092473744927048270e-03 1.491505182688976797e-06 1.069587972397793027e-03 4.175600652596187235e-06 2.449951622015156065e-07
